,0
10,"[array([-7.3455908e+02,  6.6724167e+01,  1.9973301e+01,  2.4432135e+01,
        8.2674417e+00,  1.0193673e+01,  3.3847511e+00,  5.8327327e+00,
       -2.8363993e+00,  4.2472706e+00,  1.3662723e+00,  5.9337292e+00,
       -2.2035797e+00,  4.4749513e+00,  2.2042065e+00,  3.8956730e+00,
       -9.2014277e-01,  4.1076064e+00, -1.3718882e+00,  3.8044109e+00,
       -2.7975862e+00,  9.4556099e-01, -4.3723097e-01,  2.6916766e-01,
       -2.6242814e+00,  1.2110467e+00, -1.5596365e+00,  1.4535502e+00,
       -1.9082893e+00,  3.9684132e-01,  9.2426628e-01,  8.3026516e-01,
        9.5178872e-01,  4.0959263e-01, -9.7013968e-01, -9.9807703e-01,
       -8.0191076e-01, -1.1945148e+00, -1.5725533e+00, -6.7940688e-01],
      dtype=float32), 2, 'calm']"
11,"[array([-6.8679370e+02,  6.3759007e+01, -5.0192637e+00,  1.4655202e+01,
       -2.3921709e+00, -8.1254745e-01, -5.1759486e+00, -6.0321894e+00,
       -1.3602617e+01, -1.2577052e+00, -9.5874205e+00, -9.3904269e-01,
       -1.0405348e+01, -1.4081160e+00, -2.0743124e+00, -7.6238127e+00,
       -9.0375452e+00, -2.2433546e+00, -4.0401134e+00, -4.9221053e+00,
       -5.0779042e+00, -4.7988901e+00, -7.2683415e+00, -3.7795219e+00,
       -2.9232602e+00, -7.7915752e-01,  8.3538836e-01,  2.5500000e+00,
        7.3298550e-01,  3.0698237e+00,  8.4391940e-01,  2.6247027e+00,
        3.3020902e+00,  4.9326878e+00,  5.1317282e+00,  3.6660385e+00,
        4.5044584e+00,  1.5546051e+00,  3.0243662e-01, -2.5836551e+00],
      dtype=float32), 2, 'calm']"
12,"[array([-7.3722272e+02,  6.8615128e+01, -2.4920116e-01,  1.4366145e+01,
        6.9717784e+00,  4.7699318e+00, -3.9648330e+00,  7.4085879e-01,
       -6.9252548e+00,  3.2831323e+00, -6.1157394e-02,  5.9947038e-01,
        2.8138058e+00,  2.0198972e+00, -3.2912927e+00,  3.8019152e+00,
       -4.5410953e+00, -2.5150257e-01,  1.1944424e+00,  8.8785338e-01,
       -1.8203099e+00,  4.8203707e-01, -1.6675953e+00, -1.1222110e+00,
       -1.3988096e+00,  2.7954122e-01,  3.3907634e-01,  1.6238999e-01,
        9.9967057e-01, -3.7367722e-01,  7.1544099e-01, -2.2168753e+00,
        2.2258912e-01,  2.1880876e-01,  4.3084875e-01,  5.5445850e-01,
       -5.5822045e-01, -1.5563062e+00, -1.8826009e+00, -5.6286252e-01],
      dtype=float32), 2, 'calm']"
13,"[array([-7.6533856e+02,  4.7169823e+01,  1.4768372e+00,  1.5077701e+01,
       -1.0482028e+01, -1.4618102e+00, -8.1490698e+00, -4.2250490e+00,
       -7.9262428e+00,  5.1971294e-02, -4.8802156e+00, -2.3186560e+00,
       -5.3894973e+00,  2.5321862e-01, -6.5681677e+00, -6.1471260e-01,
       -4.4810443e+00, -2.0445826e+00, -4.4437881e+00,  9.5227367e-01,
       -6.9249338e-01,  2.5553226e+00,  6.1348361e-01,  2.7919600e+00,
       -1.4953011e+00, -2.1923564e-01, -1.2791203e+00,  7.7945602e-01,
       -3.8810462e-01,  1.5759787e-02, -9.7446555e-01, -1.0766288e+00,
       -5.1590556e-01,  5.0437152e-01,  1.2594032e+00,  2.0899439e+00,
        3.6790583e+00,  2.8098333e+00,  1.9274827e+00,  1.1770611e+00],
      dtype=float32), 2, 'calm']"
14,"[array([-6.3868652e+02,  7.2511375e+01, -5.9974966e+00,  1.5943517e+01,
        7.1758032e+00,  1.1974567e+00, -1.9324790e+00,  1.1618943e+00,
       -6.3939567e+00,  1.1981926e+00, -3.6942811e+00,  2.3948779e+00,
       -2.5927968e+00,  2.7573597e+00, -1.0738159e+00,  1.6968969e+00,
        2.1844386e-01, -1.4197056e+00,  2.2358918e+00,  2.3576753e+00,
       -2.3716643e+00,  1.9298447e+00, -1.7809762e+00, -2.0170774e-02,
       -2.2963541e+00,  7.1473718e-01, -1.2419894e+00, -1.2440825e-01,
       -4.7246081e-01,  1.2096508e+00,  5.6947577e-01, -1.5312399e-01,
        3.4904781e-01, -3.8126728e-01, -4.9806413e-01,  5.8021146e-01,
       -2.8804287e-01,  1.1259151e+00,  2.9157200e-01,  3.3309847e-01],
      dtype=float32), 2, 'calm']"
15,"[array([-6.6383063e+02,  6.1380005e+01,  2.2751935e+00,  1.2700736e+01,
       -4.2155938e+00, -4.7034335e+00, -1.1695962e+01, -3.2695687e+00,
       -8.9813643e+00, -1.9917855e-02, -1.0663830e+01, -9.2648864e-01,
       -4.9299641e+00, -4.1121464e+00, -3.8590679e+00, -5.4459200e+00,
       -3.6185122e+00, -3.0848639e+00, -5.5100703e+00, -3.2628925e+00,
       -5.6381993e+00, -3.3064897e+00, -5.1482906e+00, -3.4594021e+00,
       -4.2840743e+00, -3.7579930e+00, -3.9924176e+00, -2.3078239e+00,
       -2.5575063e+00,  2.6139918e-01,  9.9327970e-01, -2.6903349e-01,
        4.4590637e-02, -2.0926329e-01, -4.9777663e-01,  5.0072962e-01,
        1.9430267e+00,  2.3007243e+00,  2.2400434e+00,  1.9390229e+00],
      dtype=float32), 2, 'calm']"
16,"[array([-6.46565979e+02,  7.82402496e+01,  5.81284761e+00,  2.32729836e+01,
        1.34617405e+01,  1.11650848e+01,  6.54020834e+00, -2.06787157e+00,
       -7.17939043e+00,  9.42616844e+00, -3.43024564e+00,  2.99716449e+00,
        3.50519538e+00,  4.11872244e+00,  1.09271264e+00,  1.78604710e+00,
       -1.61726582e+00, -1.46411985e-01, -3.29780310e-01,  3.49779534e+00,
       -2.58904457e+00,  2.16082549e+00, -2.22861266e+00, -2.67756164e-01,
       -1.97654593e+00,  2.35595226e+00, -1.15215719e+00, -7.63943195e-01,
       -2.70949936e+00, -5.22254765e-01, -5.17587364e-01, -5.07613838e-01,
        1.06828022e+00, -4.31788623e-01, -9.93861854e-01, -1.74549842e+00,
       -9.98087883e-01, -1.75863171e+00, -1.36337996e+00, -2.39870691e+00],
      dtype=float32), 2, 'calm']"
17,"[array([-7.5498169e+02,  5.9807541e+01,  8.5068011e-01,  1.5180319e+01,
       -4.6103349e+00, -5.7107878e-01, -6.4525723e+00, -9.6196060e+00,
       -1.1002420e+01,  2.0986137e+00, -4.5893197e+00, -2.4604383e+00,
       -8.4258394e+00,  4.8829188e+00, -6.3020024e+00, -4.4990625e+00,
       -5.9040713e+00, -1.0638022e+00, -5.0780711e+00, -5.2447419e+00,
       -3.2795143e+00, -1.4709764e+00, -6.7762494e+00, -1.6717497e+00,
       -3.2044690e+00, -4.0544500e+00, -3.8920634e+00, -1.1102940e+00,
       -3.3207741e+00, -1.6323197e+00, -2.7687831e+00, -1.8018661e+00,
       -3.3240275e+00, -1.8535331e+00, -1.0356542e+00,  9.6543944e-01,
        4.1826439e+00,  7.3878655e+00,  1.0678265e+01,  1.0405076e+01],
      dtype=float32), 2, 'calm']"
18,"[array([-7.2321594e+02,  8.0465439e+01,  8.9332781e+00,  2.1701918e+01,
        4.5160732e+00,  1.0858137e+01,  1.1850626e+00,  1.5766363e-01,
       -8.1581678e+00,  3.1547883e+00,  3.4211633e-01, -4.3275744e-01,
        5.1780863e+00,  4.3286209e+00, -4.9807415e+00,  8.1975813e+00,
       -1.3973387e+00, -3.7595671e-02,  3.3526678e+00,  2.3647485e+00,
       -4.7013335e+00,  5.2644932e-01, -1.4023213e+00, -1.6150798e+00,
        7.6377910e-01,  9.4522262e-01,  3.9255685e-01,  2.3825345e+00,
        1.6131181e+00,  9.0358162e-01,  2.7990360e+00, -8.2537127e-01,
       -5.1798606e-01,  1.4253621e+00, -8.6255765e-01,  1.2288135e+00,
       -9.6093625e-01, -2.6447399e+00, -2.1592741e+00, -9.4342566e-01],
      dtype=float32), 2, 'calm']"
19,"[array([-7.1965015e+02,  4.0265060e+01, -1.0677992e+01,  1.2497933e+01,
       -1.0565179e+01, -2.7276211e+00, -1.1100495e+01, -7.7465382e+00,
       -8.4347086e+00, -1.3848027e+00, -5.1777554e+00, -3.9098022e+00,
       -6.7473989e+00, -2.2727376e-01, -8.2119255e+00, -3.6269052e+00,
       -5.5302205e+00, -1.9920620e+00, -5.0283093e+00, -2.6823487e+00,
       -4.1221390e+00, -1.4466540e+00, -3.4186218e+00,  2.2529447e+00,
        7.9111540e-01,  1.4736136e+00,  9.7769350e-01,  1.7157738e-01,
       -6.7607775e-02,  1.3426136e+00,  2.0230248e+00,  2.9271789e+00,
        2.0530674e+00,  2.2360361e+00,  2.2972350e+00,  3.2866566e+00,
        2.0944707e+00,  1.3775325e+00, -1.3442572e+00, -1.0049298e+00],
      dtype=float32), 2, 'calm']"
20,"[array([-5.96031128e+02,  6.93093719e+01,  2.96093136e-01,  1.64585514e+01,
        5.69214535e+00, -2.80687189e+00,  4.49962199e-01, -1.38764513e+00,
       -1.15122824e+01,  2.07606006e+00, -2.75172544e+00, -2.11719894e+00,
       -2.44626927e+00,  3.24968457e+00, -3.47281170e+00, -9.50501382e-01,
       -3.63571644e+00,  1.08031675e-01, -1.21768332e+00, -6.36857390e-01,
       -3.19410658e+00,  6.54678345e-02, -4.07467413e+00, -3.94782972e+00,
       -2.34932351e+00, -2.19408441e+00, -3.61278844e+00, -1.21855783e+00,
       -1.19616282e+00, -8.89562964e-01, -1.04669833e+00, -1.94800961e+00,
       -2.14505482e+00, -1.34220982e+00, -1.25071979e+00, -9.20083106e-01,
       -2.50934815e+00, -2.26466489e+00, -1.51857376e+00, -2.51112270e+00],
      dtype=float32), 2, 'calm']"
21,"[array([-7.0511932e+02,  5.9930870e+01, -3.2342019e+00,  1.0848731e+01,
       -4.0546411e-01,  2.5740342e+00, -9.0024548e+00, -1.8770244e+00,
       -1.5148179e+01,  1.1059636e+00, -5.7165332e+00, -2.0906599e+00,
       -2.5711076e+00,  1.2103333e+00, -2.2465346e+00, -5.8006201e+00,
       -3.8613150e+00, -7.9589427e-01, -5.7627134e+00, -2.9844575e+00,
       -6.9625640e+00, -2.6969166e+00, -4.5668035e+00, -1.4379562e+00,
       -5.3102560e+00, -1.9918916e+00, -5.0230522e+00, -9.6562028e-01,
       -3.0204412e-01,  3.7102194e+00,  1.3773683e+00,  2.2979074e+00,
       -5.9760630e-01,  1.1910194e+00,  1.6857580e+00,  4.2533946e+00,
        5.9461489e+00,  6.3001323e+00,  2.3703012e+00,  4.1184564e+00],
      dtype=float32), 2, 'calm']"
22,"[array([-6.47665161e+02,  6.63255615e+01, -8.79649353e+00,  1.32397175e+01,
        7.79950094e+00, -1.94814634e+00, -7.76255083e+00, -6.81860685e-01,
       -1.27607679e+01, -2.71242023e+00, -2.19286394e+00, -2.41888905e+00,
       -3.78254962e+00,  5.24668574e-01, -5.39955378e+00,  4.01877689e+00,
       -6.73095179e+00, -1.71533573e+00, -3.31619263e+00, -1.50111747e+00,
       -4.90390682e+00, -1.66125929e+00, -4.65955544e+00, -2.01196456e+00,
       -3.93434262e+00, -2.10847735e-01, -3.86570740e+00, -1.79947174e+00,
       -1.92096436e+00, -2.00446272e+00, -2.22750521e+00, -1.64620042e+00,
       -2.82497311e+00, -1.61836374e+00, -2.73821139e+00, -4.16974314e-02,
       -4.45509642e-01, -1.47109434e-01, -4.43361700e-01,  1.24879420e-01],
      dtype=float32), 2, 'calm']"
23,"[array([-6.8929297e+02,  4.6676765e+01, -1.0846545e+01,  4.3588018e+00,
       -1.1270012e+01, -4.6369920e+00, -1.4147989e+01, -9.9107056e+00,
       -1.1034350e+01, -4.4303803e+00, -1.0624705e+01, -1.4742491e+00,
       -7.7128663e+00, -3.9779854e+00, -4.0560198e+00, -5.3857241e+00,
       -5.1418314e+00, -4.1162071e+00, -6.5231314e+00, -4.1303124e+00,
       -5.1623549e+00, -4.2279129e+00, -3.8784537e+00, -2.7582335e+00,
       -2.1621621e+00,  1.6162109e-01,  7.6198453e-01,  1.8012047e+00,
        1.9654083e+00,  3.8242600e+00,  4.5692396e+00,  6.3520389e+00,
        7.3009920e+00,  5.8087177e+00,  4.5543094e+00,  1.8430777e+00,
        7.8759950e-01,  6.0305119e-01,  1.0846021e-01, -3.9446241e-01],
      dtype=float32), 2, 'calm']"
24,"[array([-6.9555786e+02,  5.9240154e+01, -5.3727765e+00,  1.9776365e+01,
        5.2003870e+00,  3.3246295e+00, -4.6684060e+00, -2.1939750e+00,
       -1.4508076e+01,  1.3079027e+00, -1.5743597e+00, -4.6489695e-01,
       -9.1644263e-01, -1.5777045e+00, -1.5859773e+00,  1.6537147e+00,
       -5.5405788e+00, -1.4930885e-01, -2.5880389e+00,  1.0253670e+00,
       -5.7983885e+00, -6.6835111e-01, -2.0893300e+00, -4.7283816e+00,
       -5.3826421e-01, -1.8225700e+00, -4.5681682e+00,  1.0030332e+00,
       -1.9735184e+00, -2.0521957e-01, -1.0559134e+00, -3.1025133e+00,
       -1.6978800e+00, -2.9226611e+00, -2.5444653e+00, -1.2898319e+00,
       -7.9725361e-01, -3.5860744e+00, -2.7063947e+00, -2.8129327e+00],
      dtype=float32), 2, 'calm']"
25,"[array([-6.48336243e+02,  5.24717979e+01, -1.40819893e+01,  1.46908865e+01,
       -8.90087891e+00, -1.40372172e-01, -8.04923344e+00, -4.74814081e+00,
       -5.14094734e+00,  1.79287940e-01, -5.19320345e+00, -6.59975171e-01,
       -6.93490982e+00,  9.94799376e-01, -7.08106089e+00, -2.35856128e+00,
       -2.88259625e+00, -5.49429834e-01, -2.06961560e+00, -3.51900548e-01,
       -6.41891360e-01, -1.72020853e+00, -1.56369579e+00, -3.70414138e-01,
       -1.03914940e+00, -3.43379164e+00, -1.33304727e+00, -1.64608455e+00,
        2.70571351e+00,  1.49748266e+00,  1.13859665e+00,  3.22239184e+00,
        3.67253923e+00,  3.18699646e+00,  2.06421351e+00,  2.99967790e+00,
       -3.54725756e-02,  1.50513649e+00, -9.97227654e-02, -6.42432809e-01],
      dtype=float32), 2, 'calm']"
26,"[array([-6.2123285e+02,  7.1126633e+01,  1.4233544e+00,  2.0778776e+01,
        7.1055698e+00,  5.1598554e+00, -1.1032455e+01, -4.8139066e-01,
       -2.1074586e+00, -1.7943835e+00, -1.9233184e+00,  2.5153580e+00,
       -2.3569157e+00,  3.9690337e+00, -4.9310608e+00,  4.8671303e+00,
       -1.4791028e+00,  1.1318966e+00,  1.2415537e+00, -1.0306239e+00,
       -6.4516860e-01, -7.8765184e-01, -1.4141753e+00, -1.2519326e+00,
       -1.2515694e+00,  1.5384709e+00,  5.6498963e-01,  2.2669723e+00,
        1.7942014e+00,  1.3388710e+00,  1.4187346e+00,  6.2858802e-01,
        9.8335743e-01,  1.8439951e+00,  2.0028329e+00,  1.5186360e+00,
        1.3264443e+00,  1.0385501e+00,  1.2852973e+00,  1.1438284e+00],
      dtype=float32), 2, 'calm']"
27,"[array([-7.0185968e+02,  4.8038857e+01, -1.1436010e+01,  1.0035829e+01,
       -1.1794775e+01, -4.0202127e+00, -1.1892638e+01, -1.1610067e+01,
       -1.3811998e+01, -2.6500485e+00, -6.7963858e+00, -5.9730692e+00,
       -7.2457299e+00,  6.2502372e-01, -9.2395859e+00, -3.6612439e+00,
       -6.6316700e+00, -4.6046176e+00, -5.4264369e+00,  2.2598996e+00,
       -2.3396580e+00,  2.0793741e+00, -2.7545710e+00, -1.4552082e+00,
       -2.9295554e+00, -1.7089812e+00,  7.4965858e-01,  4.3687758e+00,
        3.0068321e+00,  1.7754495e+00,  3.4491488e-01,  2.2321012e+00,
        2.1808584e+00, -2.0500010e-01, -1.2000277e+00, -1.1416478e+00,
        1.1939322e+00, -1.7148256e-01,  2.3303623e+00,  4.3305392e+00],
      dtype=float32), 2, 'calm']"
28,"[array([-7.3398749e+02,  7.5365494e+01,  5.4637325e-01,  2.3461103e+01,
        8.0435228e+00,  6.8329043e+00, -4.1712257e-01, -1.5373716e-01,
       -1.3055291e+00,  6.9112477e+00,  1.7063565e+00,  5.0237322e+00,
       -1.5860617e+00,  2.8044260e+00,  2.0633583e+00,  4.1333566e+00,
       -2.6285470e+00,  3.0295546e+00,  1.1763866e+00,  3.2511423e+00,
       -2.2041111e+00,  1.5595948e+00, -1.1794794e+00,  2.5924128e-01,
       -3.9318749e-01, -7.1117735e-01, -7.0463854e-01,  1.2209945e+00,
        9.4636631e-01, -1.2923144e+00,  6.9350863e-01,  1.2211282e+00,
        8.0787253e-01,  2.4184507e-01,  1.1237224e-02,  2.5176239e+00,
        1.3727458e+00, -1.3891556e+00, -2.9253836e+00, -6.5136492e-01],
      dtype=float32), 2, 'calm']"
29,"[array([-7.0060114e+02,  5.7836151e+01, -2.3408564e+01,  1.8187672e+01,
       -4.7763624e+00, -8.3231640e+00, -1.3772664e+01, -5.9201827e+00,
       -7.1389418e+00,  4.9601431e+00, -7.8895202e+00,  1.7501743e+00,
       -8.3976994e+00, -5.2299697e-02, -7.3198633e+00, -2.2323093e+00,
       -5.8183360e+00, -4.4611454e+00, -5.0030880e+00, -5.9655962e+00,
       -8.7171739e-01,  1.0462912e-01, -2.0836434e+00,  2.1032953e+00,
       -1.8151312e+00,  1.1947651e+00,  1.7964399e+00,  5.4636612e+00,
        5.9397764e+00,  7.5966830e+00,  4.1954355e+00,  5.9895558e+00,
        5.4576645e+00,  8.2917843e+00,  8.2841816e+00,  7.3649926e+00,
        3.0677567e+00, -1.0983286e-01,  3.1874254e+00,  6.8033876e+00],
      dtype=float32), 2, 'calm']"
30,"[array([-6.5165082e+02,  8.0966537e+01,  1.4223205e+00,  2.4800615e+01,
        4.9203258e+00,  3.4536617e+00, -1.1318933e+01, -3.2128978e+00,
       -9.2003876e-01,  1.1784678e+00, -6.4223328e+00,  4.7865047e+00,
        1.4051818e+00, -3.0290604e+00, -2.9815516e-01,  3.2064912e+00,
       -5.8536644e+00,  5.8293891e+00, -2.9412737e+00,  1.6999859e-01,
       -5.2784905e+00, -1.7587749e-02, -3.6092091e+00, -2.1012826e+00,
       -2.9475732e+00,  2.6690717e+00, -2.7732778e+00,  3.1253676e+00,
       -2.8377697e+00, -6.2710392e-01, -3.0197289e+00,  1.1792376e+00,
        9.2580423e-02, -1.3407131e-01, -1.4833730e+00, -3.2367859e+00,
       -4.6032476e+00, -3.0809951e+00, -7.4949718e-01,  5.7108319e-01],
      dtype=float32), 2, 'calm']"
